"name","current employee estimate","city","state"
"hitfox group",32,"berlin","berlin"
"locafox gmbh",32,"berlin","berlin"
"investitionsbank berlin",32,"berlin","berlin"
"nickl & partner architekten ag",32,"berlin","berlin"
"germania technik brandenburg gmbh",32,"berlin","berlin"
"knick elektronische messgeräte gmbh & co. kg",32,"berlin","berlin"
"xenios ag",32,"berlin","berlin"
"cdu deutschlands",32,"berlin","berlin"
"friday versicherung",32,"berlin","berlin"
"francotyp-postalia holding ag",32,"berlin","berlin"
"himss europe",32,"berlin","berlin"
"k-mb agentur für markenkommunikation gmbh",32,"berlin","berlin"
"dan pearlman gmbh",32,"berlin","berlin"
"immmr gmbh",31,"berlin","berlin"
"estrel berlin",31,"berlin","berlin"
"eye square",31,"berlin","berlin"
"all you need gmbh",31,"berlin","berlin"
"easy english",31,"berlin","berlin"
"rckt.",31,"berlin","berlin"
"grover",31,"berlin","berlin"
"the reach group gmbh",31,"berlin","berlin"
"peak ace ag",31,"berlin","berlin"
"viventura",31,"berlin","berlin"
"zif - zentrum für internationale friedenseinsätze ggmbh",31,"berlin","berlin"
"aukett+ heese",31,"berlin","berlin"
"nexon europe",31,"berlin","berlin"
"kofler energies",31,"berlin","berlin"
"messe berlin",31,"berlin","berlin"
"wearmal it and services",31,"berlin","berlin"
"99chairs",31,"berlin","berlin"
"3yourmind gmbh",31,"berlin","berlin"
"emnify",31,"berlin","berlin"
"alice salomon hochschule berlin",31,"berlin","berlin"
"hochschule der populären künste (fh)",30,"berlin","berlin"
"sense consulting",30,"berlin","berlin"
"lar process analysers ag",30,"berlin","berlin"
"mymuesli gmbh",30,"berlin","berlin"
"erasys gmbh",30,"berlin","berlin"
"knorr-bremse powertech gmbh",30,"berlin","berlin"
"dalia research",30,"berlin","berlin"
"design akademie berlin",30,"berlin","berlin"
"senatsverwaltung für stadtentwicklung und umwelt",30,"berlin","berlin"
"bold communication & marketing",30,"berlin","berlin"
"epigenomics ag",30,"berlin","berlin"
"styla gmbh (styla.com)",30,"berlin","berlin"
"deutsches herzzentrum berlin",30,"berlin","berlin"
"trinavis gmbh & co. kg",30,"berlin","berlin"
"travel tech",30,"berlin","berlin"
"verband der automobilindustrie (vda) e.v.",30,"berlin","berlin"
"familie redlich agentur für marken und kommunikation gmbh",30,"berlin","berlin"
"talixo",30,"berlin","berlin"
"charité berlin",29,"berlin","berlin"
"coffee circle (circle products gmbh)",29,"berlin","berlin"
"bsp business school berlin",29,"berlin","berlin"
